date,low,high,open,close,volume
2016-01-03 00:00:00,425.02,435.75,435.4,431.91,3904.3253181104
2016-01-04 00:00:00,431.37,435.79,431.9,433.85,5894.4457231707
2016-01-05 00:00:00,430,435.64,433.84,433.34,5150.0494756905
2016-01-06 00:00:00,428.15,433.46,433.32,430.87,5476.8699594412
2016-01-07 00:00:00,430.64,460.15,430.66,459.07,13906.640729024
2016-01-08 00:00:00,447.53,464.4,459.07,454.44,8347.0550396009
2016-01-09 00:00:00,447.66,456,454.41,450.38,4247.5496509509
2016-01-10 00:00:00,442.96,451.39,450.39,449.99,3954.3223995204
2016-01-11 00:00:00,445.88,452.65,449.99,449.19,5597.6141831506
2016-01-12 00:00:00,431.83,449.44,449.26,434.01,6596.9454529205
2016-01-13 00:00:00,425,437.5,434.01,432.77,9009.1407091215
2016-01-14 00:00:00,428,435.27,432.7,430.03,5672.8209624504
2016-01-15 00:00:00,357.3,430.29,430.04,357.53,28641.653585517
2016-01-16 00:00:00,350.92,391,357.59,388.7,17985.104784491
2016-01-17 00:00:00,372,391,388.7,378.46,8278.4017934806
2016-01-18 00:00:00,370.1,386.1,378.47,384.89,8711.4597560414
2016-01-19 00:00:00,370,385.5,384.79,375.27,8133.0890103409
2016-01-20 00:00:00,369,425.1,375.28,418.54,13874.681659312
2016-01-21 00:00:00,403.21,424.78,418.89,409.38,8736.439028891
2016-01-22 00:00:00,373.86,413.99,409.02,382.9,13430.103039241
2016-01-23 00:00:00,382.55,398.72,382.93,387.5,6308.7500222005
2016-01-24 00:00:00,387.49,406.93,387.5,403.05,3550.8317718301
2016-01-25 00:00:00,386.41,403.04,403.04,391.4,6491.9998118605
2016-01-26 00:00:00,387.78,397,391.4,391.54,6981.0099003503
2016-01-27 00:00:00,390.7,397.18,391.7,394.79,6324.1641902705
2016-01-28 00:00:00,377.12,395,394.6,379.61,9103.7154988729
2016-01-29 00:00:00,363.25,385.05,379.63,378.68,12105.290436892
2016-01-30 00:00:00,375,382.04,378.68,378.46,4154.2964224006
2016-01-31 00:00:00,365,382.5,378.46,367.95,5506.7468130217
2016-02-01 00:00:00,366.26,379,367.89,371.33,7931.2292292211
2016-02-02 00:00:00,371.17,374.41,371.33,372.93,6856.2181579908
2016-02-03 00:00:00,365.63,373.01,372.93,368.87,7147.9565732816
2016-02-04 00:00:00,368.74,390.63,368.87,387.99,8887.7272324031
2016-02-05 00:00:00,382.99,389.36,387.99,384.5,7443.8443322423
2016-02-06 00:00:00,370.05,384.54,384.44,375.44,6276.6147372914
2016-02-07 00:00:00,373.24,379.81,375.44,377.49,4160.8291113108
2016-02-08 00:00:00,370.5,379.35,377.47,371.14,7094.2085777712
2016-02-09 00:00:00,370.13,374.93,371.02,372.68,8424.5522075012
2016-02-10 00:00:00,371.87,383.34,372.76,378.44,9734.280824752
2016-02-11 00:00:00,360,379.5,378.49,378.23,10412.363715862
2016-02-12 00:00:00,377.46,382.05,378.23,382.05,6162.1767133706
2016-02-13 00:00:00,381.99,396,382.05,391,5978.8564717108
2016-02-14 00:00:00,391,406.92,391,406.59,7555.1648502712
2016-02-15 00:00:00,394.03,409.09,406.62,398.95,6568.4853828419
2016-02-16 00:00:00,390,407.5,398.94,407.42,5647.1850706918
2016-02-17 00:00:00,405.69,420.13,407.41,415.2,8707.1340027011
2016-02-18 00:00:00,415.01,423.2,415.18,421.19,6518.637611801
2016-02-19 00:00:00,416,422,421.18,420.72,5800.2175318307
2016-02-20 00:00:00,420.09,444.03,420.72,437.46,9366.3485603912
2016-02-21 00:00:00,426.01,448.7,438.04,438.56,7111.1445864114
2016-02-22 00:00:00,430.95,439,438.56,437.55,5131.7998832812
2016-02-23 00:00:00,414.16,440.9,437.45,419.97,9159.0322446321
2016-02-24 00:00:00,410,425.6,420.32,423.94,7231.1223652809
2016-02-25 00:00:00,418.6,426.44,423.87,423.54,6049.8181152615
2016-02-26 00:00:00,419.53,430.85,423.51,430.85,6782.0374652812
2016-02-27 00:00:00,430.14,434.97,430.84,433.12,5520.6202689409
2016-02-28 00:00:00,423,436.07,433.09,433.73,5149.9300902405
2016-02-29 00:00:00,431.13,442,433.73,436.44,7578.8900694016
2016-03-01 00:00:00,427.5,437.78,436.41,433.08,7580.2210627824
2016-03-02 00:00:00,418.36,435.36,433.03,420.39,7437.5294352501
2016-03-03 00:00:00,408.63,422.8,420.44,418.8,11833.710870932
2016-03-04 00:00:00,405.5,422.21,418.76,407.35,8960.9535718408
2016-03-05 00:00:00,381.09,408.83,407.38,396.08,14903.213784571
2016-03-06 00:00:00,385.01,409.27,396.13,403.24,7675.1365629903
2016-03-07 00:00:00,395,418.74,403.24,412.21,9910.7442423909
2016-03-08 00:00:00,407.4,416.33,412.21,411.18,7501.4764955703
2016-03-09 00:00:00,408.75,414,411.18,412.8,5399.2703620408
2016-03-10 00:00:00,410.71,416.52,412.64,415.98,7908.7538674906
